gene,disease
INSR,Insulin-Resistant Diabetes Mellitus And Acanthosis Nigricans
INSR,Leprechaunism Syndrome
INSR,Hyperinsulinism Due To Insr Deficiency
INTS1,"Neurodevelopmental Disorder With Cataracts, Poor Growth, And Dysmorphic Facies"
INTS11,"Neurodevelopmental Disorder With Motor And Language Delay, Ocular Defects, And Brain Abnormalities"
INTS8,Neurodevelopmental Disorder With Cerebellar Hypoplasia And Spasticity
INTU,Short-Rib Thoracic Dysplasia 20 With Polydactyly
INTU,Orofaciodigital Syndrome 17
INVS,Infantile Nephronophthisis
INVS,Nephronophthisis
IPO8,Viss Syndrome
IPW,Prader-Willi Syndrome
IQCB1,Nephronophthisis
IQCB1,Senior-Loken Syndrome 5
IQCE,"Polydactyly, Postaxial, Type A7"
IQCN,Spermatogenic Failure 78
IQSEC1,Intellectual Developmental Disorder With Short Stature And Behavioral Abnormalities
IQSEC2,"Intellectual Disability, X-Linked 1"
IRAK3,"Asthma-Related Traits, Susceptibility To, 5"
IRAK4,Immunodeficiency 67
IREB2,"Neurodegeneration, Early-Onset, With Choreoathetoid Movements And Microcytic Anemia"
IRF1,Lung Cancer
IRF1,Immunodeficiency 117
IRF1,Gastric Cancer
IRF2BP2,"Immunodeficiency, Common Variable, 14"
IRF2BPL,"Neurodevelopmental Disorder With Regression, Abnormal Movements, Loss Of Speech, And Seizures"
IRF3,"Encephalopathy, Acute, Infection-Induced (Herpes-Specific), Susceptibility To, 7"
IRF4,Immunodeficiency 131
IRF4,"Skin/Hair/Eye Pigmentation, Variation In, 8"
IRF5,Inflammatory Bowel Disease 14
IRF5,"Systemic Lupus Erythematosus, Susceptibility To, 10"
IRF6,Autosomal Dominant Popliteal Pterygium Syndrome
IRF6,"Orofacial Cleft 6, Susceptibility To"
IRF6,Van Der Woude Syndrome 1
IRF7,Immunodeficiency 39
IRF8,Immunodeficiency 32B
IRF8,Mendelian Susceptibility To Mycobacterial Diseases Due To Partial Irf8 Deficiency
IRF9,"Immunodeficiency 65, Susceptibility To Viral Infections"
IRGM,"Mycobacterium Tuberculosis, Susceptibility To"
IRGM,Inflammatory Bowel Disease 19
IRS1,Type 2 Diabetes Mellitus
IRS2,Type 2 Diabetes Mellitus
IRS4,"Hypothyroidism, Congenital, Nongoitrous, 9"
IRX5,Craniofacial Dysplasia - Osteopenia Syndrome
ISCA1,Multiple Mitochondrial Dysfunctions Syndrome 5
ISCA2,Multiple Mitochondrial Dysfunctions Syndrome 4
ISCU,Hereditary Myopathy With Lactic Acidosis Due To Iscu Deficiency
ISG15,Mendelian Susceptibility To Mycobacterial Diseases Due To Complete Isg15 Deficiency
ITCH,Syndromic Multisystem Autoimmune Disease Due To Itch Deficiency
ITGA2,Fetomaternal Alloimmune Thrombocytopenia 3
ITGA2B,Fetomaternal Alloimmune Thrombocytopenia 2
ITGA2B,Platelet-Type Bleeding Disorder 16
ITGA2B,Glanzmann Thrombasthenia 1
ITGA3,"Epidermolysis Bullosa, Junctional 7, With Interstitial Lung Disease And Nephrotic Syndrome"
ITGA6,Junctional Epidermolysis Bullosa With Pyloric Atresia
ITGA6,"Epidermolysis Bullosa, Junctional 6, With Pyloric Atresia"
ITGA7,Congenital Muscular Dystrophy Due To Integrin Alpha-7 Deficiency
ITGA8,Renal Hypodysplasia/Aplasia 1
ITGAV,"Immune Dysregulation, Neurodevelopmental Defects, And Colitis"
ITGB2,Leukocyte Adhesion Deficiency 1
ITGB3,Glanzmann Thrombasthenia 2
ITGB3,"Bleeding Disorder, Platelet-Type, 24"
ITGB3,Fetomaternal Alloimmune Thrombocytopenia 1
ITGB4,"Epidermolysis Bullosa, Junctional 5A, Intermediate"
ITGB4,Junctional Epidermolysis Bullosa With Pyloric Atresia
ITGB6,Amelogenesis Imperfecta Type 1H
ITK,Lymphoproliferative Syndrome 1
ITM2B,Adan Amyloidosis
ITM2B,Abri Amyloidosis
ITM2B,Retinal Dystrophy With Inner Retinal Dysfunction And Ganglion Cell Anomalies
ITPA,Inosine Triphosphatase Deficiency
ITPA,"Developmental And Epileptic Encephalopathy, 35"
ITPR1,Spinocerebellar Ataxia Type 29
ITPR1,Spinocerebellar Ataxia Type 15/16
ITPR1,Gillespie Syndrome
ITPR2,Isolated Anhidrosis With Normal Sweat Glands
ITPR3,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1J"
ITPR3,Immunodeficiency 133 With Ectodermal Dysplasia With Or Without Peripheral Neuropathy
IVD,Isovaleryl-Coa Dehydrogenase Deficiency
IVNS1ABP,Immunodeficiency 70
IYD,Iodotyrosine Deiodination Defect
JAG1,Tetralogy Of Fallot
JAG1,"Deafness, Congenital Heart Defects, And Posterior Embryotoxon"
JAG1,Alagille Syndrome Due To A Jag1 Point Mutation
JAG1,"Charcot-Marie-Tooth Disease, Axonal, Type 2Hh"
JAG2,"Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 27"
JAGN1,Autosomal Recessive Severe Congenital Neutropenia Due To Jagn1 Deficiency
JAK1,"Autoinflammation, Immune Dysregulation, And Eosinophilia"
JAK2,Budd-Chiari Syndrome
JAK2,Thrombocythemia 3
JAK2,Acute Myeloid Leukemia
JAK2,Acquired Polycythemia Vera
JAK2,Primary Familial Polycythemia Due To Epo Receptor Mutation
JAK2,Primary Myelofibrosis
JAK3,T-B+ Severe Combined Immunodeficiency Due To Jak3 Deficiency
JAM2,Idiopathic Basal Ganglia Calcification 1
JAM2,"Basal Ganglia Calcification, Idiopathic, 8, Autosomal Recessive"
JAM3,Porencephaly-Microcephaly-Bilateral Congenital Cataract Syndrome
JARID2,Developmental Delay With Variable Intellectual Disability And Dysmorphic Facies
JKAMP,Neurodevelopmental Disorder With Seizures And Impaired Intellectual And Language Development
JPH1,Congenital Myopathy 25
JPH1,Charcot-Marie-Tooth Disease Axonal Type 2K
JPH2,Hypertrophic Cardiomyopathy 17
JPH2,"Cardiomyopathy, Dilated, 2E"
JPH3,Huntington Disease-Like 2
JUP,Arrhythmogenic Right Ventricular Dysplasia 12
JUP,Arrhythmogenic Right Ventricular Cardiomyopathy
JUP,Naxos Disease
KANK1,"Cerebral Palsy, Spastic Quadriplegic, 2"
KANK2,Wooly Hair-Palmoplantar Keratoderma Syndrome
KANK2,Nephrotic Syndrome 16
KANSL1,Koolen-De Vries Syndrome
KARS1,"Leukoencephalopathy, Progressive, Infantile-Onset, With Or Without Deafness"
KARS1,"Deafness, Congenital, And Adult-Onset Progressive Leukoencephalopathy"
KARS1,Autosomal Recessive Nonsyndromic Hearing Loss 89
KARS1,Charcot-Marie-Tooth Disease Recessive Intermediate B
KASH5,Spermatogenic Failure 88
KASH5,Premature Ovarian Failure 22
KAT5,"Neurodevelopmental Disorder With Dysmorphic Facies, Sleep Disturbance, And Brain Abnormalities"
KAT6A,Autosomal Dominant Intellectual Disability-Craniofacial Anomalies-Cardiac Defects Syndrome
KAT6B,"Blepharophimosis - Intellectual Disability Syndrome, Sbbys Type"
KAT6B,Genitopatellar Syndrome
KAT8,Li-Ghorbani-Weisz-Hubshman Syndrome
KATNB1,Lissencephaly 6 With Microcephaly
KATNIP,Joubert Syndrome 26
KBTBD13,Nemaline Myopathy 6
KCNA1,Episodic Ataxia Type 1
KCNA2,"Developmental And Epileptic Encephalopathy, 32"
KCNA4,"Microcephaly, Cataracts, Impaired Intellectual Development, And Dystonia With Abnormal Striatum"
KCNA5,"Atrial Fibrillation, Familial, 7"
KCNB1,"Developmental And Epileptic Encephalopathy, 26"
KCNC1,Progressive Myoclonic Epilepsy Type 7
KCNC2,Developmental And Epileptic Encephalopathy 103
KCNC3,Spinocerebellar Ataxia Type 13
KCND3,Brugada Syndrome 9
KCND3,Hereditary Ataxia
KCND3,Spinocerebellar Ataxia Type 19/22
KCNE1,Jervell And Lange-Nielsen Syndrome 2
KCNE1,Long Qt Syndrome 5
KCNE2,Long Qt Syndrome 6
KCNE2,"Atrial Fibrillation, Familial, 4"
KCNE3,Brugada Syndrome 6
KCNH1,Temple-Baraitser Syndrome
KCNH1,Zimmermann-Laband Syndrome 1
KCNH2,Long Qt Syndrome 2
KCNH2,Short Qt Syndrome Type 1
KCNH5,Developmental And Epileptic Encephalopathy 112
KCNJ1,Bartter Disease Type 2
KCNJ10,Pendred Syndrome
KCNJ10,Autosomal Recessive Nonsyndromic Hearing Loss 4
KCNJ10,East Syndrome
KCNJ11,"Diabetes Mellitus, Permanent Neonatal 2"
KCNJ11,Type 2 Diabetes Mellitus
KCNJ11,Permanent Neonatal Diabetes Mellitus
KCNJ11,"Diabetes Mellitus, Transient Neonatal, 3"
KCNJ11,"Hyperinsulinemic Hypoglycemia, Familial, 2"
KCNJ11,Maturity-Onset Diabetes Of The Young Type 13
KCNJ13,Leber Congenital Amaurosis 16
KCNJ13,Snowflake Vitreoretinal Degeneration
KCNJ16,Hypokalemic Tubulopathy And Deafness
KCNJ18,"Thyrotoxic Periodic Paralysis, Susceptibility To, 2"
KCNJ2,"Atrial Fibrillation, Familial, 9"
KCNJ2,Andersen Tawil Syndrome
KCNJ2,Short Qt Syndrome Type 3
KCNJ5,Familial Hyperaldosteronism Type Iii
KCNJ5,Long Qt Syndrome 13
KCNJ6,Keppen-Lubinsky Syndrome
KCNK18,"Migraine, With Or Without Aura, Susceptibility To, 13"
KCNK3,"Pulmonary Hypertension, Primary, 4"
KCNK3,Developmental Delay With Sleep Apnea
KCNK4,"Facial Dysmorphism, Hypertrichosis, Epilepsy, Intellectual/Developmental Delay, And Gingival Overgrowth Syndrome"
KCNK9,Birk-Barel Syndrome
KCNMA1,"Epilepsy, Idiopathic Generalized, Susceptibility To, 16"
KCNMA1,Liang-Wang Syndrome
KCNMA1,"Cerebellar Atrophy, Developmental Delay, And Seizures"
KCNMA1,Generalized Epilepsy-Paroxysmal Dyskinesia Syndrome
KCNMB1,"Hypertension, Diastolic, Resistance To"
KCNN2,"Dystonia 34, Myoclonic"
KCNN2,Neurodevelopmental Disorder With Or Without Variable Movement Or Behavioral Abnormalities
KCNN3,Zimmermann-Laband Syndrome 3
KCNN4,Dehydrated Hereditary Stomatocytosis 2
KCNQ1,"Atrial Fibrillation, Familial, 3"
KCNQ1,Long Qt Syndrome 1
KCNQ1,Jervell And Lange-Nielsen Syndrome 1
KCNQ1,Short Qt Syndrome Type 2
KCNQ1,Beckwith-Wiedemann Syndrome
KCNQ1OT1,Beckwith-Wiedemann Syndrome
KCNQ2,"Seizures, Benign Familial Neonatal, 1"
KCNQ2,"Developmental And Epileptic Encephalopathy, 7"
KCNQ3,"Seizures, Benign Familial Neonatal, 2"
KCNQ4,Hereditary Hearing Loss And Deafness
KCNQ4,Autosomal Dominant Nonsyndromic Hearing Loss 2A
KCNQ5,"Intellectual Disability, Autosomal Dominant 46"
KCNT1,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy 5
KCNT1,"Developmental And Epileptic Encephalopathy, 14"
KCNT2,"Developmental And Epileptic Encephalopathy, 57"
KCNU1,Spermatogenic Failure 79
KCNV2,Cone Dystrophy With Supernormal Rod Response
KCTD1,Dental Radicular Dysplasia
KCTD1,Scalp-Ear-Nipple Syndrome
KCTD17,Myoclonic Dystonia 26
KCTD7,Progressive Myoclonic Epilepsy Type 3
KDELR2,"Osteogenesis Imperfecta, Type 21"
KDF1,"Ectodermal Dysplasia 12, Hypohidrotic/Hair/Tooth/Nail Type"
KDM1A,Acth-Independent Macronodular Adrenal Hyperplasia 3
KDM1A,Palatal Anomalies-Widely Spaced Teeth-Facial Dysmorphism-Developmental Delay Syndrome
KDM2B,Neurodevelopmental Disorder With Congenital Cardiac Defects And Variable Renal And Ocular Abnormalities
KDM3B,Diets-Jongmans Syndrome
KDM4B,"Intellectual Developmental Disorder, Autosomal Dominant 65"
KDM5A,El Hayek-Chahrour Neurodevelopmental Disorder
KDM5B,"Intellectual Disability, Autosomal Recessive 65"
KDM5C,Syndromic X-Linked Intellectual Disability Claes-Jensen Type
KDM5D,"Spermatogenic Failure, Y-Linked, 2"
KDM6A,Kabuki Syndrome 1
KDM6A,Kabuki Syndrome 2
KDM6B,Neurodevelopmental Disorder With Coarse Facies And Mild Distal Skeletal Abnormalities
KDR,Capillary Infantile Hemangioma
KDSR,Erythrokeratodermia Variabilis Et Progressiva 4
KEL,Kell Blood Group System
KERA,Cornea Plana 2
KHDC3L,"Hydatidiform Mole, Recurrent, 2"
KHK,Essential Fructosuria
KIAA0586,Short-Rib Thoracic Dysplasia 14 With Polydactyly
KIAA0586,Joubert Syndrome 23
KIAA0753,Joubert Syndrome 38
KIAA0753,Short-Rib Thoracic Dysplasia 21 Without Polydactyly
KIAA0753,Orofaciodigital Syndrome Xv
KIAA0825,"Polydactyly, Postaxial, Type A10"
KIAA1549,Retinitis Pigmentosa 86
KICS2,"Intellectual Developmental Disorder, Autosomal Recessive 83"
KIDINS220,Ventriculomegaly And Arthrogryposis
KIDINS220,"Spastic Paraplegia, Intellectual Disability, Nystagmus, And Obesity"
KIF11,"Microcephaly With Or Without Chorioretinopathy, Lymphedema, Or Intellectual Disability"
KIF12,"Cholestasis, Progressive Familial Intrahepatic, 8"
KIF14,"Microcephaly 20, Primary, Autosomal Recessive"
KIF14,Lethal Fetal Cerebrorenogenitourinary Agenesis/Hypoplasia Syndrome
KIF15,Braddock-Carey Syndrome 2
KIF1A,"Spastic Paraplegia 30A, Autosomal Dominant"
KIF1A,"Neuropathy, Hereditary Sensory, Type 2C"
KIF1A,"Neuropathy, Hereditary Sensory And Autonomic, Type 2A"
KIF1A,Hereditary Sensory And Autonomic Neuropathy Type 2
KIF1A,"Spastic Paraplegia 30B, Autosomal Recessive"
KIF1A,"Intellectual Disability, Autosomal Dominant 9"
KIF1B,Charcot-Marie-Tooth Disease Type 2A1
KIF1B,Charcot-Marie-Tooth Disease
KIF1B,"Neuroblastoma, Susceptibility To, 1"
KIF1B,Pheochromocytoma
KIF1C,Spastic Ataxia 2
KIF20A,"Cardiomyopathy, Familial Restrictive, 6"
KIF21A,Congenital Fibrosis Of Extraocular Muscles Type 1
KIF22,Spondyloepimetaphyseal Dysplasia With Multiple Dislocations
KIF23,"Congenital Dyserythropoietic Anemia, Type Iii"
KIF26A,"Cortical Dysplasia, Complex, With Other Brain Malformations 11"
KIF2A,Complex Cortical Dysplasia With Other Brain Malformations 3
KIF3B,Retinitis Pigmentosa 89
KIF4A,"Intellectual Disability, X-Linked 100"
KIF4A,"Taurodontism, Microdontia, And Dens Invaginatus"
KIF5A,"Myoclonus, Intractable, Neonatal"
KIF5A,"Amyotrophic Lateral Sclerosis, Susceptibility To, 25"
KIF5A,Hereditary Spastic Paraplegia 10
KIF5A,Charcot-Marie-Tooth Disease
KIF5C,Complex Cortical Dysplasia With Other Brain Malformations 2
KIF7,Acrocallosal Syndrome
KIF7,Hydrolethalus Syndrome 2
KIF7,"Multiple Epiphyseal Dysplasia, Al-Gazali Type"
KIFBP,Goldberg-Shprintzen Syndrome
KIRREL1,"Nephrotic Syndrome, Type 23"
KISS1,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
KISS1,Hypogonadotropic Hypogonadism 13 With Or Without Anosmia
KISS1R,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
KISS1R,Central Precocious Puberty 1
KISS1R,Hypogonadotropic Hypogonadism 8 With Or Without Anosmia
KIT,Acute Myeloid Leukemia
KIT,Gastrointestinal Stromal Tumor
KIT,Piebaldism
KIT,Germ Cell Tumor Of Testis
KIT,Cutaneous Mastocytosis
KITLG,"Skin/Hair/Eye Pigmentation 7, Dark/Light Skin"
KITLG,"Waardenburg Syndrome, Iia 2F"
KITLG,"Hyperpigmentation With Or Without Hypopigmentation, Familial Progressive"
KITLG,Autosomal Dominant Nonsyndromic Hearing Loss 69
KIZ,Retinitis Pigmentosa 69
KL,"Tumoral Calcinosis, Hyperphosphatemic, Familial, 3"
KLC2,"Spastic Paraplegia, Optic Atropy, And Neuropathy"
KLC4,"Early-Childhood-Onset Neurodegeneration With Retinitis Pigmentosa, Sensorineural Hearing Loss, And Demyelinating Peripheral Neuropathy"
KLF1,Blood Group--Lutheran Inhibitor
KLF1,"Anemia, Congenital Dyserythropoietic, Type Ivb"
KLF1,Congenital Dyserythropoietic Anemia Type 4
KLF1,Fetal Hemoglobin Quantitative Trait Locus 6
KLF11,Maturity-Onset Diabetes Of The Young Type 7
KLF13,Chromosome 15Q13.3 Microdeletion Syndrome
KLF6,Familial Prostate Cancer
KLF6,Gastric Cancer
KLHDC8B,Classic Hodgkin Lymphoma
KLHL10,Spermatogenic Failure 11
KLHL15,"Intellectual Disability, X-Linked 103"
KLHL20,"Neurodevelopmental Disorder With Early-Onset Seizures, Facial Dysmorphism, And Behavioral Abnormalities"
KLHL24,"Cardiomyopathy, Familial Hypertrophic, 29, With Polyglucosan Bodies"
KLHL24,"Epidermolysis Bullosa Simplex 6, Generalized, With Scarring And Hair Loss"
KLHL3,"Pseudohypoaldosteronism, Type 2"
KLHL3,Pseudohypoaldosteronism Type 2D
KLHL40,Nemaline Myopathy 8
KLHL41,Nemaline Myopathy 9
KLHL7,Retinitis Pigmentosa 42
KLHL7,Perching Syndrome
KLK1,"Kallikrein, Decreased Urinary Activity Of"
KLK11,Ichthyosis With Erythrokeratoderma
KLK4,Amelogenesis Imperfecta Type 2A1
KLKB1,Inherited Prekallikrein Deficiency
KLLN,Cowden Syndrome 4
KMT2A,Wiedemann-Steiner Syndrome
KMT2B,"Intellectual Developmental Disorder, Autosomal Dominant 68"
KMT2B,Dystonic Disorder
KMT2B,"Dystonia 28, Childhood-Onset"
KMT2C,Kleefstra Syndrome 2
KMT2D,Choanal Atresia-Athelia-Hypothyroidism-Delayed Puberty-Short Stature Syndrome
KMT2D,Kabuki Syndrome 1
KMT2E,O'Donnell-Luria-Rodan Syndrome
KMT5B,"Intellectual Disability, Autosomal Dominant 51"
KNG1,High Molecular Weight Kininogen Deficiency
KNG1,"Angioedema, Hereditary, 6"
KNL1,"Microcephaly 4, Primary, Autosomal Recessive"
KNSTRN,Combined Immunodeficiency With Faciooculoskeletal Anomalies
KPNA3,"Spastic Paraplegia 88, Autosomal Dominant"
KPNA7,Oocyte/Zygote/Embryo Maturation Arrest 17
KPTN,Macrocephaly-Developmental Delay Syndrome
KRAS,Gastric Cancer
KRAS,Familial Pancreatic Carcinoma
KRAS,Cerebral Arteriovenous Malformation
KRAS,Malignant Tumor Of Urinary Bladder
KRAS,Toriello-Lacassie-Droste Syndrome
KRAS,Cardiofaciocutaneous Syndrome 2
KRAS,Lung Cancer
KRAS,Panitumumab Response
KRAS,Familial Cancer Of Breast
KRAS,Cetuximab Response
KRAS,Acute Myeloid Leukemia
KRAS,Autoimmune Lymphoproliferative Syndrome Type 4
KRAS,Linear Nevus Sebaceous Syndrome
KRAS,Noonan Syndrome 3
KREMEN1,"Ectodermal Dysplasia 13, Hair/Tooth Type"
KRIT1,Cerebral Cavernous Malformation
KRIT1,Cerebral Cavernous Malformation 1
KRT1,"Palmoplantar Keratoderma, Epidermolytic, 2"
KRT1,Epidermolytic Hyperkeratosis 1
KRT1,Diffuse Nonepidermolytic Palmoplantar Keratoderma
KRT1,Keratosis Palmoplantaris Striata 3
KRT1,Ichthyosis Hystrix Of Curth-Macklin
KRT1,"Ichthyosis, Annular Epidermolytic, 2"
KRT10,"Epidermolytic Hyperkeratosis 2B, Autosomal Recessive"
KRT10,Ichthyosis Hystrix Gravior
KRT10,"Ichthyosis, Annular Epidermolytic 1"
KRT10,"Epidermolytic Hyperkeratosis 2A, Autosomal Dominant"
KRT10,Congenital Reticular Ichthyosiform Erythroderma
KRT12,"Corneal Dystrophy, Meesmann, 1"
KRT13,White Sponge Nevus 2
KRT14,"Epidermolysis Bullosa Simplex 1D, Generalized, Intermediate Or Severe, Autosomal Recessive"
KRT14,"Epidermolysis Bullosa Simplex 1C, Localized"
KRT14,Naegeli-Franceschetti-Jadassohn Syndrome
KRT14,"Epidermolysis Bullosa Simplex, Koebner Type"
KRT14,Dermatopathia Pigmentosa Reticularis
KRT14,"Epidermolysis Bullosa Simplex 1A, Generalized Severe"
KRT16,"Palmoplantar Keratoderma, Nonepidermolytic, Focal 1"
KRT16,Pachyonychia Congenita 1
KRT17,Steatocystoma Multiplex
KRT17,Pachyonychia Congenita 2
KRT18,"Cirrhosis, Familial"
KRT2,Ichthyosis Bullosa Of Siemens
KRT25,"Wooly Hair, Autosomal Recessive 3"
KRT3,"Corneal Dystrophy, Meesmann, 2"
KRT4,White Sponge Nevus 1
KRT5,"Epidermolysis Bullosa Simplex 2C, Localized"
KRT5,Epidermolysis Bullosa Simplex With Migratory Circinate Erythema
KRT5,"Epidermolysis Bullosa Simplex 2B, Generalized Intermediate"
KRT5,"Epidermolysis Bullosa Simplex 1A, Generalized Severe"
KRT5,"Epidermolysis Bullosa Simplex 2A, Generalized Severe"
KRT5,"Epidermolysis Bullosa Simplex 2D, Generalized, Intermediate Or Severe, Autosomal Recessive"
KRT5,Dowling-Degos Disease 1
KRT5,Epidermolysis Bullosa Simplex With Mottled Pigmentation
KRT6A,Pachyonychia Congenita 3
KRT6A,Pachyonychia Congenita 1
KRT6B,Pachyonychia Congenita 2
KRT6B,Pachyonychia Congenita 4
KRT6C,"Palmoplantar Keratoderma, Nonepidermolytic, Focal Or Diffuse"
KRT71,Hypotrichosis 13
KRT74,"Ectodermal Dysplasia 7, Hair/Nail Type"
KRT74,Hypotrichosis 3
KRT74,Autosomal Dominant Wooly Hair
KRT75,Pseudofolliculitis Barbae
KRT81,Monilethrix-2
KRT83,Monilethrix-3
KRT83,Erythrokeratodermia Variabilis Et Progressiva 5
KRT85,"Ectodermal Dysplasia 4, Hair/Nail Type"
KRT86,Monilethrix-1
KRT9,"Epidermolytic Palmoplantar Keratoderma, 1"
KY,Myofibrillar Myopathy 7
KYNU,"Vertebral, Cardiac, Renal, And Limb Defects Syndrome 2"
KYNU,Hydroxykynureninuria
L1CAM,X-Linked Hydrocephalus Syndrome
L1CAM,Masa Syndrome
L1CAM,X-Linked Complicated Corpus Callosum Dysgenesis
L2HGDH,L-2-Hydroxyglutaric Aciduria
LACC1,Juvenile Arthritis Due To Defect In Lacc1
LAGE3,"Galloway-Mowat Syndrome 2, X-Linked"
LAMA1,Ataxia - Intellectual Disability - Oculomotor Apraxia - Cerebellar Cysts Syndrome
LAMA2,Merosin Deficient Congenital Muscular Dystrophy
LAMA2,"Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 23"
LAMA2,Lama2-Related Muscular Dystrophy
LAMA3,"Epidermolysis Bullosa, Junctional 2B, Severe"
LAMA3,Junctional Epidermolysis Bullosa Gravis Of Herlitz
LAMA3,Laryngo-Onycho-Cutaneous Syndrome
LAMA3,"Epidermolysis Bullosa, Junctional 2A, Intermediate"
LAMA4,Dilated Cardiomyopathy 1Jj
LAMA5,"Nephrotic Syndrome, Iia 26"
LAMA5,Bent Bone Dysplasia Syndrome 2
LAMB1,Cobblestone Lissencephaly Without Muscular Or Ocular Involvement
LAMB1,"Leukoencephalopathy Without Lacunae, Adult-Onset"
LAMB2,Lamb2-Related Infantile-Onset Nephrotic Syndrome
LAMB2,Pierson Syndrome
LAMB2,Congenital Myasthenic Syndrome
LAMB3,Amelogenesis Imperfecta Type 1A
LAMB3,"Junctional Epidermolysis Bullosa, Non-Herlitz Type"
LAMB3,Junctional Epidermolysis Bullosa Gravis Of Herlitz
LAMC2,Junctional Epidermolysis Bullosa Gravis Of Herlitz
LAMC2,"Epidermolysis Bullosa, Junctional 3B, Severe"
LAMC2,"Epidermolysis Bullosa, Junctional 3A, Intermediate"
LAMC3,Occipital Pachygyria And Polymicrogyria
LAMP2,Danon Disease
LAMTOR2,Primary Immunodeficiency Syndrome Due To P14 Deficiency
LARGE1,Muscular Dystrophy-Dystroglycanopathy Type B6
LARGE1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A6"
LARGE1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A1"
LARP7,"Microcephalic Primordial Dwarfism, Alazami Type"
LARS1,Infantile Liver Failure Syndrome 1
LARS2,Perrault Syndrome 4
LARS2,Hydrops-Lactic Acidosis-Sideroblastic Anemia-Multisystemic Failure Syndrome
LAS1L,Wilson-Turner Syndrome
LAT,Severe Combined Immunodeficiency Due To Lat Deficiency
LBR,Regressive Spondylometaphyseal Dysplasia
LBR,Pelger-Huët Anomaly
LBR,Reynolds Syndrome
LBR,Greenberg Dysplasia
LBX1,"Central Hypoventilation Syndrome, Congenital, 3"
LCA5,Leber Congenital Amaurosis 5
LCAT,Norum Disease
LCAT,Fish-Eye Disease
LCK,Severe Combined Immunodeficiency Due To Lck Deficiency
LCP2,Immunodeficiency 81
LCT,Congenital Lactase Deficiency
LDB3,"Cardiomyopathy, Dilated, 2L"
LDB3,Dilated Cardiomyopathy 1C
LDB3,Myofibrillar Myopathy 4
LDB3,Primary Dilated Cardiomyopathy
LDHA,Glycogen Storage Disease Due To Lactate Dehydrogenase M-Subunit Deficiency
LDHB,Glycogen Storage Disease Due To Lactate Dehydrogenase H-Subunit Deficiency
LDHD,Lactic Aciduria Due To D-Lactic Acid
LDLR,"Hypercholesterolemia, Familial, 1"
LDLR,Familial Hypercholesterolemia
LDLRAP1,Familial Hypercholesterolemia
LDLRAP1,"Hypercholesterolemia, Familial, 4"
